Date,AAPL,AGG,AMZN,GOOGL,JNJ,JPM,KO,MSFT,NVDA,PG,SPY,TLT,VNQ,XLU,XOM
2021-01-04,125.63250732421875,99.06855010986328,159.3314971923828,85.49298095703125,133.62832641601562,109.00052642822266,44.792781829833984,207.5653839111328,13.060795783996582,118.9655532836914,342.4369812011719,130.6973419189453,66.93403625488281,25.89508056640625,33.251338958740234
2021-01-05,127.18576049804688,98.96783447265625,160.92550659179688,86.18241882324219,135.19940185546875,109.59362030029297,44.30036926269531,207.765625,13.350873947143555,119.72515106201172,344.7954406738281,129.72666931152344,67.03179931640625,25.890846252441406,34.85380172729492
2021-01-06,122.90451049804688,98.48104858398438,156.91900634765625,85.33200073242188,136.4716339111328,114.73970794677734,42.89103317260742,202.37838745117188,12.563799858093262,120.98543548583984,346.85675048828125,127.0636215209961,67.14581298828125,26.534832000732422,35.74317169189453
2021-01-07,127.09840393066406,98.38036346435547,158.10800170898438,87.88074493408203,136.93272399902344,118.50764465332031,42.41560363769531,208.13743591308594,13.290369033813477,119.85467529296875,352.01019287109375,125.94365692138672,67.01549530029297,26.187421798706055,36.02360534667969
2021-01-08,128.19544982910156,98.2628402709961,159.13499450683594,89.044189453125,136.65090942382812,118.63849639892578,43.366477966308594,209.4056396484375,13.223390579223633,119.8028335571289,354.015869140625,125.53715515136719,67.66716766357422,26.407730102539062,36.424224853515625
2021-01-11,125.21504974365234,98.1033935546875,155.7104949951172,86.98675537109375,136.07884216308594,120.40906524658203,42.6193733215332,207.3746337890625,13.566756248474121,118.99143981933594,351.6295166015625,125.32979583740234,66.77113342285156,26.16199493408203,37.529930114746094
2021-01-12,125.04029846191406,98.18731689453125,156.04150390625,86.05265045166016,135.0200958251953,122.30179595947266,42.54295349121094,204.9337615966797,13.430551528930664,118.30088806152344,351.7037353515625,125.23015594482422,66.92589569091797,26.022186279296875,38.36322784423828
2021-01-13,127.06929779052734,98.49781036376953,158.29449462890625,86.53902435302734,134.815185546875,122.41519165039062,42.58540344238281,206.2781524658203,13.477364540100098,118.48216247558594,352.6508483886719,126.64057922363281,67.74047088623047,26.530597686767578,38.7958869934082
2021-01-14,125.14710998535156,98.30480194091797,156.37350463867188,85.73021697998047,137.17181396484375,123.13038635253906,41.795841217041016,203.1125946044922,13.147197723388672,117.22187805175781,351.4159240722656,125.45417022705078,68.1396255493164,26.428911209106445,40.31022262573242
2021-01-15,123.42874908447266,98.40554809570312,155.21249389648438,85.5667724609375,136.87295532226562,120.9237060546875,41.34587860107422,202.7598114013672,12.807818412780762,116.34143829345703,348.8532409667969,125.95199584960938,68.9216079711914,26.68735694885254,38.37123107910156
2021-01-19,124.0986328125,98.53982543945312,156.03799438476562,88.38248443603516,138.99049377441406,120.40033721923828,41.18456268310547,206.37350463867188,12.972901344299316,115.32286834716797,351.59234619140625,126.35845184326172,68.72611236572266,26.58567237854004,39.132408142089844
2021-01-20,128.176025390625,98.54821014404297,163.16900634765625,93.11743927001953,138.64901733398438,118.59486389160156,41.32889938354492,213.90606689453125,13.312029838562012,113.88133239746094,356.4578857421875,126.48290252685547,70.03758239746094,26.7424373626709,39.68526077270508
2021-01-21,132.87474060058594,98.40554809570312,165.34950256347656,93.31950378417969,138.09397888183594,117.60054779052734,41.558128356933594,214.5067596435547,13.811765670776367,113.7693099975586,356.7829284667969,125.59522247314453,69.70359802246094,26.58567237854004,38.54750442504883
2021-01-22,135.01052856445312,98.40554809570312,164.6114959716797,93.73603057861328,139.6479949951172,116.69345092773438,41.16758346557617,215.44122314453125,13.657388687133789,112.8922348022461,355.5201110839844,126.0016860961914,69.86652374267578,26.62380599975586,38.00265884399414
2021-01-25,138.7481231689453,98.65734100341797,164.6999969482422,93.82122039794922,141.72283935546875,115.23685455322266,41.41379165649414,218.85472106933594,13.598376274108887,114.83747100830078,356.9221496582031,127.48665618896484,70.39599609375,27.157638549804688,37.5780143737793
2021-01-26,138.9811248779297,98.62374114990234,166.30650329589844,94.49828338623047,145.56520080566406,114.76587677001953,41.846771240234375,221.52450561523438,13.38125228881836,115.5755844116211,356.36505126953125,127.24613189697266,70.89290618896484,26.886484146118164,36.75272750854492
2021-01-27,137.91323852539062,98.63213348388672,161.62899780273438,90.08973693847656,143.34523010253906,111.52122497558594,41.201541900634766,222.06793212890625,12.86583423614502,111.48541259765625,347.6552734375,127.5697250366211,69.6384506225586,26.16199493408203,36.336082458496094
2021-01-28,133.08828735351562,98.56497955322266,161.88099670410156,91.78657531738281,144.43814086914062,113.48371887207031,41.7279167175293,227.81753540039062,12.99854564666748,113.2048568725586,350.6452331542969,126.86445617675781,70.01315307617188,26.47551918029785,36.904964447021484
2021-01-29,128.1080322265625,98.45585632324219,160.30999755859375,90.50675201416016,139.2893524169922,112.22772216796875,40.87894058227539,221.1717071533203,12.937543869018555,111.33778381347656,343.62548828125,126.10128021240234,69.20671844482422,26.331470489501953,35.927459716796875
2021-02-01,130.2244110107422,98.55004119873047,167.1439971923828,93.76130676269531,138.9307861328125,113.05630493164062,41.15909194946289,228.5040283203125,13.183798789978027,111.9977798461914,349.34527587890625,126.24739074707031,70.7870101928711,26.458568572998047,35.99156188964844
2021-02-02,131.0496063232422,98.39871978759766,169.0,95.0515365600586,137.6841583251953,116.53643035888672,41.566619873046875,228.37054443359375,13.502265930175781,111.84146118164062,354.28509521484375,125.43350982666016,71.21058654785156,26.674646377563477,36.56044006347656
2021-02-03,130.03024291992188,98.2810287475586,165.62649536132812,101.97364807128906,137.0437469482422,117.87091827392578,41.405311584472656,231.69822692871094,13.476120948791504,111.98039245605469,354.56365966796875,124.32051849365234,71.0313720703125,26.58991241455078,37.99464797973633
2021-02-04,133.37957763671875,98.23900604248047,166.5500030517578,101.713623046875,138.31597900390625,120.58353424072266,41.609066009521484,230.75425720214844,13.609332084655762,112.04986572265625,358.5934753417969,123.98828125,71.52011108398438,26.797510147094727,38.7237663269043
2021-02-05,132.9663543701172,98.11290740966797,167.6074981689453,103.45702362060547,140.41647338867188,120.34800720214844,42.15242004394531,230.9354705810547,13.536377906799316,112.5188217163086,360.0049743652344,122.95003509521484,71.77265167236328,26.941560745239258,40.021785736083984
2021-02-08,133.11221313476562,98.21377563476562,166.14700317382812,103.2435531616211,140.81781005859375,122.23198699951172,42.381649017333984,231.19288635253906,14.380720138549805,112.17146301269531,362.6048889160156,123.48989868164062,72.16363525390625,26.733959197998047,41.74443435668945
2021-02-09,132.2371368408203,98.25577545166016,165.25,102.7913818359375,141.97048950195312,121.74356842041016,42.194862365722656,232.43238830566406,14.205925941467285,111.73724365234375,362.36346435546875,123.58129119873047,72.41615295410156,26.772092819213867,41.255531311035156
2021-02-10,131.6343536376953,98.34825134277344,164.32899475097656,103.34065246582031,142.4315185546875,121.81336975097656,42.10995864868164,231.526611328125,14.704912185668945,111.34645080566406,362.2055358886719,124.40359497070312,72.80715942382812,26.878009796142578,41.65481185913086
2021-02-11,131.3815460205078,98.23056030273438,163.10650634765625,103.45307922363281,141.79115295410156,121.4731674194336,42.70425796508789,233.11892700195312,15.18945598602295,111.44200134277344,362.79052734375,123.72246551513672,72.9619369506836,26.72549057006836,40.61179733276367
2021-02-12,131.6148681640625,98.00360107421875,163.885498046875,103.76412200927734,142.23521423339844,123.20014190673828,43.03536605834961,233.595703125,14.901118278503418,110.82544708251953,364.5826721191406,122.18595123291016,72.97823333740234,26.530597686767578,41.1658935546875
2021-02-16,129.49537658691406,97.54122161865234,163.44749450683594,104.54023742675781,140.9458770751953,126.16568756103516,42.678794860839844,232.36566162109375,15.268637657165527,111.08597564697266,364.2669677734375,120.32540893554688,72.41615295410156,26.23402214050293,42.40446472167969
2021-02-17,127.21055603027344,97.73458862304688,165.4320068359375,104.93248748779297,141.44964599609375,126.55818939208984,42.55994415283203,233.37869262695312,14.846091270446777,111.55489349365234,364.3505554199219,121.08955383300781,72.32655334472656,26.25520896911621,43.06448745727539
2021-02-18,126.1119155883789,97.68416595458984,166.4114990234375,104.29801940917969,141.51791381835938,126.98556518554688,43.1032829284668,232.98683166503906,14.769402503967285,112.48407745361328,362.7998352050781,120.59954071044922,72.01702880859375,26.411964416503906,42.38816833496094
2021-02-19,126.26746368408203,97.38153076171875,162.4949951171875,103.45602416992188,139.1613006591797,129.10504150390625,42.54295349121094,230.29183959960938,14.866507530212402,110.3912353515625,362.1591796875,118.99652099609375,72.4324722290039,26.0179500579834,42.673362731933594
2021-02-22,122.50482177734375,97.07884979248047,159.03700256347656,101.74481964111328,139.0753936767578,130.31741333007812,42.98442840576172,224.11810302734375,14.298052787780762,109.92229461669922,359.37353515625,118.09117889404297,73.03524017333984,25.50953483581543,44.246002197265625
